recv_ns,trade_us,event_us,symbol,price,qty,is_sell
1772524237403510600,1772524240094976,1772524240095361,BTCUSDT,68129.12000000,0.01585000,1
1772524237694275700,1772524240387585,1772524240387882,BTCUSDT,68129.13000000,0.00207000,0
1772524237837313700,1772524240527450,1772524240527847,BTCUSDT,68129.12000000,0.00108000,1
1772524237979934500,1772524240672023,1772524240672440,BTCUSDT,68129.12000000,0.00368000,1
1772524238145634800,1772524240835718,1772524240835985,BTCUSDT,68129.12000000,0.05679000,1
1772524238252738200,1772524240945298,1772524240945561,BTCUSDT,68129.12000000,0.07498000,1
1772524238469239800,1772524241160589,1772524241161059,BTCUSDT,68129.13000000,0.01908000,0
1772524238589560400,1772524241280722,1772524241281031,BTCUSDT,68129.12000000,0.00011000,1
1772524238601418400,1772524241294328,1772524241294619,BTCUSDT,68129.12000000,0.08537000,1
1772524239057131800,1772524241750372,1772524241750650,BTCUSDT,68129.12000000,0.00019000,1
1772524239059105600,1772524241751740,1772524241752160,BTCUSDT,68129.13000000,0.00128000,0
1772524239472744500,1772524242154426,1772524242154727,BTCUSDT,68129.13000000,0.00514000,0
1772524239521980700,1772524242214408,1772524242214799,BTCUSDT,68129.12000000,0.00676000,1
1772524240296189500,1772524242987598,1772524242988283,BTCUSDT,68129.13000000,0.00798000,0
1772524240296276700,1772524242987598,1772524242988287,BTCUSDT,68129.14000000,0.02905000,0
1772524240296328900,1772524242987598,1772524242988288,BTCUSDT,68129.20000000,0.00008000,0
1772524240296376300,1772524242987598,1772524242988289,BTCUSDT,68129.28000000,0.00024000,0
1772524240296422000,1772524242987598,1772524242988290,BTCUSDT,68129.32000000,0.00008000,0
1772524240296467000,1772524242987598,1772524242988291,BTCUSDT,68130.52000000,0.00057000,0
1772524240296521200,1772524242987598,1772524242988292,BTCUSDT,68130.71000000,0.00008000,0
1772524240296568900,1772524242987598,1772524242988292,BTCUSDT,68131.05000000,0.00088000,0
1772524240482495500,1772524243175155,1772524243175478,BTCUSDT,68131.05000000,0.03935000,0
1772524240792249100,1772524243485485,1772524243485769,BTCUSDT,68131.05000000,0.00010000,0
1772524241146158700,1772524243839422,1772524243839803,BTCUSDT,68131.05000000,0.00027000,0
1772524241165743100,1772524243856772,1772524243857126,BTCUSDT,68131.04000000,0.32734000,1
1772524241254241400,1772524243946665,1772524243947196,BTCUSDT,68131.05000000,0.00011000,0
1772524241471496800,1772524244163843,1772524244164348,BTCUSDT,68131.05000000,0.00403000,0
1772524241497105700,1772524244190489,1772524244190852,BTCUSDT,68131.05000000,0.00586000,0
1772524241551514800,1772524244243908,1772524244244448,BTCUSDT,68131.05000000,0.00538000,0
1772524241551741400,1772524244243908,1772524244244452,BTCUSDT,68131.06000000,0.00049000,0
1772524241553258500,1772524244245890,1772524244246379,BTCUSDT,68131.12000000,0.00016000,0
1772524241553344500,1772524244245890,1772524244246383,BTCUSDT,68131.13000000,0.00008000,0
1772524241553404100,1772524244245890,1772524244246384,BTCUSDT,68131.39000000,0.00008000,0
1772524241553467300,1772524244245890,1772524244246384,BTCUSDT,68131.84000000,0.00009000,0
1772524241553522700,1772524244245890,1772524244246385,BTCUSDT,68132.00000000,0.00020000,0
1772524241558227800,1772524244250368,1772524244250759,BTCUSDT,68132.07000000,0.11269000,0
1772524241566922900,1772524244253349,1772524244253691,BTCUSDT,68132.07000000,0.00422000,0
1772524241567044800,1772524244256069,1772524244256366,BTCUSDT,68132.07000000,0.00073000,0
1772524241567120700,1772524244258190,1772524244258548,BTCUSDT,68132.07000000,0.00100000,0
1772524241579595600,1772524244272439,1772524244272721,BTCUSDT,68132.07000000,0.00586000,0
1772524241588184200,1772524244280468,1772524244280746,BTCUSDT,68132.07000000,0.01172000,0
1772524241606393700,1772524244299352,1772524244299770,BTCUSDT,68132.07000000,0.00431000,0
1772524241614642400,1772524244306869,1772524244307188,BTCUSDT,68132.07000000,0.00586000,0
1772524241623249500,1772524244315732,1772524244316186,BTCUSDT,68132.07000000,0.00879000,0
1772524241661199000,1772524244353915,1772524244354422,BTCUSDT,68132.07000000,0.24697000,0
1772524241661297100,1772524244353915,1772524244354426,BTCUSDT,68132.08000000,0.00024000,0
1772524241673175900,1772524244364936,1772524244365352,BTCUSDT,68132.66000000,0.00110000,0
1772524241673319400,1772524244364936,1772524244365356,BTCUSDT,68132.67000000,0.00024000,0
1772524241673418300,1772524244364936,1772524244365357,BTCUSDT,68133.98000000,0.00246000,0
1772524241673524200,1772524244364936,1772524244365358,BTCUSDT,68134.00000000,0.00020000,0
1772524241673616600,1772524244364936,1772524244365358,BTCUSDT,68134.40000000,0.00009000,0
1772524241673707800,1772524244364936,1772524244365359,BTCUSDT,68135.39000000,0.00008000,0
1772524241673804000,1772524244364936,1772524244365360,BTCUSDT,68135.92000000,0.00005000,0
1772524242120903600,1772524244811564,1772524244812120,BTCUSDT,68135.91000000,0.00144000,1
1772524242267016500,1772524244960302,1772524244960794,BTCUSDT,68135.92000000,0.04908000,0
