wallet,display_name,outcome,side,amount
0xa5ef39c3d3e10d0b270233af41cac69796b12966,0xa5ef39c3,Will the highest temperature in NYC be between 54-55°F on March 15?,NO,1532.96
0xa5ef39c3d3e10d0b270233af41cac69796b12966,0xa5ef39c3,Will the highest temperature in NYC be 45°F or below on March 15?,NO,1532.96
0xd2ee9f7d3de21dd2618574e8b1c4adc2df796e11,Grave-Stuff,Will the highest temperature in NYC be between 54-55°F on March 15?,YES,122.5138
0x7c577a533945eba5aea3114ba7780fd043321778,0x7c577a53,Will the highest temperature in NYC be between 54-55°F on March 15?,YES,2.0
0xa5ef39c3d3e10d0b270233af41cac69796b12966,0xa5ef39c3,Will the highest temperature in NYC be between 46-47°F on March 15?,NO,1532.96
0xa5ef39c3d3e10d0b270233af41cac69796b12966,0xa5ef39c3,Will the highest temperature in NYC be 56°F or higher on March 15?,NO,1532.96
0xa5ef39c3d3e10d0b270233af41cac69796b12966,0xa5ef39c3,Will the highest temperature in NYC be between 52-53°F on March 15?,NO,1532.96
0xd2ee9f7d3de21dd2618574e8b1c4adc2df796e11,Grave-Stuff,Will the highest temperature in NYC be 45°F or below on March 15?,YES,1999.19925
0xd2ee9f7d3de21dd2618574e8b1c4adc2df796e11,Grave-Stuff,Will the highest temperature in NYC be 56°F or higher on March 15?,YES,792.195102
0xd4eaa46dda6acee4500a4dc945aa17a1be2b1b0d,Key-Spiderling,Will the highest temperature in NYC be 56°F or higher on March 15?,YES,24.285713
0x7c577a533945eba5aea3114ba7780fd043321778,0x7c577a53,Will the highest temperature in NYC be 56°F or higher on March 15?,YES,2.0
0xd2ee9f7d3de21dd2618574e8b1c4adc2df796e11,Grave-Stuff,Will the highest temperature in NYC be between 46-47°F on March 15?,YES,443.217726
0x7c577a533945eba5aea3114ba7780fd043321778,0x7c577a53,Will the highest temperature in NYC be between 52-53°F on March 15?,YES,2.0
0xa5ef39c3d3e10d0b270233af41cac69796b12966,0xa5ef39c3,Will the highest temperature in NYC be between 50-51°F on March 15?,NO,1532.96
0xa5ef39c3d3e10d0b270233af41cac69796b12966,0xa5ef39c3,Will the highest temperature in NYC be between 48-49°F on March 15?,NO,1532.96
