open_time,open,high,low,close,volume
2026-02-27 19:16:00,81.38,81.49,81.38,81.47,521.68
2026-02-27 19:17:00,81.47,81.56,81.47,81.5,794.051
2026-02-27 19:18:00,81.51,81.52,81.39,81.4,698.126
2026-02-27 19:19:00,81.41,81.41,81.37,81.38,676.254
2026-02-27 19:20:00,81.38,81.47,81.36,81.45,1213.112
2026-02-27 19:21:00,81.45,81.47,81.43,81.47,586.345
2026-02-27 19:22:00,81.47,81.49,81.41,81.43,665.773
2026-02-27 19:23:00,81.44,81.51,81.41,81.47,1432.748
2026-02-27 19:24:00,81.46,81.54,81.46,81.5,2491.223
2026-02-27 19:25:00,81.49,81.5,81.47,81.48,248.853
2026-02-27 19:26:00,81.47,81.57,81.46,81.56,1071.385
2026-02-27 19:27:00,81.55,81.72,81.55,81.7,2511.003
2026-02-27 19:28:00,81.7,81.7,81.62,81.64,738.082
2026-02-27 19:29:00,81.64,81.64,81.55,81.56,271.079
2026-02-27 19:30:00,81.55,81.56,81.52,81.53,586.891
2026-02-27 19:31:00,81.52,81.59,81.52,81.58,862.875
2026-02-27 19:32:00,81.57,81.58,81.49,81.55,2056.652
2026-02-27 19:33:00,81.54,81.59,81.53,81.59,618.102
2026-02-27 19:34:00,81.58,81.58,81.51,81.52,373.355
2026-02-27 19:35:00,81.53,81.6,81.53,81.59,711.428
2026-02-27 19:36:00,81.59,81.59,81.52,81.54,1046.899
2026-02-27 19:37:00,81.54,81.6,81.54,81.56,357.726
2026-02-27 19:38:00,81.55,81.55,81.48,81.49,573.665
2026-02-27 19:39:00,81.49,81.49,81.47,81.48,233.5
2026-02-27 19:40:00,81.47,81.51,81.46,81.48,351.548
2026-02-27 19:41:00,81.47,81.6,81.47,81.56,228.173
2026-02-27 19:42:00,81.55,81.56,81.46,81.47,209.736
2026-02-27 19:43:00,81.47,81.48,81.46,81.48,192.107
2026-02-27 19:44:00,81.48,81.48,81.28,81.37,1046.016
2026-02-27 19:45:00,81.36,81.46,81.36,81.42,665.628
2026-02-27 19:46:00,81.42,81.42,81.35,81.4,1267.254
2026-02-27 19:47:00,81.4,81.44,81.39,81.4,481.123
2026-02-27 19:48:00,81.4,81.46,81.38,81.46,192.756
2026-02-27 19:49:00,81.45,81.45,81.39,81.41,1275.273
2026-02-27 19:50:00,81.41,81.48,81.38,81.47,709.304
2026-02-27 19:51:00,81.48,81.57,81.48,81.53,1566.647
2026-02-27 19:52:00,81.53,81.55,81.49,81.53,895.529
2026-02-27 19:53:00,81.53,81.58,81.5,81.57,1764.69
2026-02-27 19:54:00,81.57,81.6,81.51,81.59,1614.627
2026-02-27 19:55:00,81.58,81.6,81.55,81.57,1132.044
2026-02-27 19:56:00,81.57,81.6,81.51,81.52,709.152
2026-02-27 19:57:00,81.52,81.62,81.52,81.61,934.697
2026-02-27 19:58:00,81.61,81.61,81.56,81.57,739.253
2026-02-27 19:59:00,81.56,81.58,81.55,81.57,903.41
2026-02-27 20:00:00,81.57,81.59,81.54,81.58,1050.584
2026-02-27 20:01:00,81.57,81.6,81.54,81.58,1664.725
2026-02-27 20:02:00,81.57,81.7,81.55,81.66,643.882
2026-02-27 20:03:00,81.66,81.7,81.63,81.66,970.874
2026-02-27 20:04:00,81.65,81.69,81.59,81.59,1859.841
2026-02-27 20:05:00,81.59,81.62,81.56,81.62,1183.948
2026-02-27 20:06:00,81.61,81.69,81.58,81.59,1881.194
2026-02-27 20:07:00,81.59,81.73,81.59,81.73,1844.036
2026-02-27 20:08:00,81.72,81.77,81.68,81.7,1222.406
2026-02-27 20:09:00,81.69,81.72,81.63,81.66,2145.688
2026-02-27 20:10:00,81.65,81.78,81.63,81.77,2642.878
2026-02-27 20:11:00,81.77,81.78,81.73,81.74,289.439
2026-02-27 20:12:00,81.74,81.84,81.74,81.81,637.846
2026-02-27 20:13:00,81.8,81.87,81.8,81.85,1090.382
2026-02-27 20:14:00,81.85,81.85,81.81,81.84,330.502
2026-02-27 20:15:00,81.84,81.85,81.77,81.78,3794.589
2026-02-27 20:16:00,81.78,81.83,81.77,81.78,1535.071
2026-02-27 20:17:00,81.77,81.8,81.77,81.78,761.086
2026-02-27 20:18:00,81.77,81.78,81.75,81.78,667.882
2026-02-27 20:19:00,81.78,81.82,81.77,81.81,559.999
2026-02-27 20:20:00,81.81,81.81,81.74,81.75,1231.688
2026-02-27 20:21:00,81.75,81.84,81.75,81.78,978.486
2026-02-27 20:22:00,81.78,81.79,81.72,81.77,899.261
2026-02-27 20:23:00,81.77,81.84,81.76,81.83,651.448
2026-02-27 20:24:00,81.83,81.87,81.8,81.81,812.353
2026-02-27 20:25:00,81.8,81.81,81.75,81.78,1153.212
2026-02-27 20:26:00,81.78,81.82,81.76,81.82,303.686
2026-02-27 20:27:00,81.81,81.81,81.76,81.78,904.944
2026-02-27 20:28:00,81.78,81.79,81.74,81.74,263.028
2026-02-27 20:29:00,81.74,81.74,81.66,81.67,620.224
2026-02-27 20:30:00,81.67,81.72,81.67,81.69,502.83
2026-02-27 20:31:00,81.69,81.75,81.68,81.68,610.136
2026-02-27 20:32:00,81.68,81.69,81.57,81.57,1798.082
2026-02-27 20:33:00,81.57,81.64,81.57,81.62,5329.883
2026-02-27 20:34:00,81.62,81.63,81.61,81.62,1073.473
2026-02-27 20:35:00,81.61,81.62,81.56,81.58,425.15
2026-02-27 20:36:00,81.58,81.62,81.57,81.59,4664.814
2026-02-27 20:37:00,81.59,81.61,81.56,81.6,1990.728
2026-02-27 20:38:00,81.6,81.61,81.56,81.57,717.991
2026-02-27 20:39:00,81.57,81.59,81.54,81.57,1305.183
2026-02-27 20:40:00,81.58,81.66,81.58,81.63,515.884
