recv_ns,trade_us,event_us,symbol,price,qty,is_sell
1772542790939719700,1772542791112185,1772542791112478,BTCUSDT,67390.32000000,0.00083000,1
1772542791422107700,1772542791595658,1772542791595937,BTCUSDT,67390.32000000,0.01068000,1
1772542791677828200,1772542791850069,1772542791850559,BTCUSDT,67390.32000000,0.00073000,1
1772542791787267300,1772542791960396,1772542791960770,BTCUSDT,67390.32000000,0.00042000,1
1772542792043070600,1772542792210090,1772542792210909,BTCUSDT,67390.33000000,0.00635000,0
1772542792043159100,1772542792210090,1772542792210913,BTCUSDT,67390.34000000,0.00083000,0
1772542792043207600,1772542792210090,1772542792210914,BTCUSDT,67390.38000000,0.00027000,0
1772542792043251700,1772542792210090,1772542792210915,BTCUSDT,67390.44000000,0.00016000,0
1772542792043297500,1772542792210090,1772542792210916,BTCUSDT,67390.67000000,0.00008000,0
1772542792043342600,1772542792210090,1772542792210916,BTCUSDT,67390.68000000,0.00025000,0
1772542792043383800,1772542792210090,1772542792210917,BTCUSDT,67390.72000000,0.00016000,0
1772542792043414200,1772542792210090,1772542792210918,BTCUSDT,67391.18000000,0.00024000,0
1772542792043445300,1772542792210090,1772542792210918,BTCUSDT,67391.20000000,0.00016000,0
1772542792043475600,1772542792210090,1772542792210919,BTCUSDT,67391.30000000,0.00054000,0
1772542792043505800,1772542792210090,1772542792210920,BTCUSDT,67391.52000000,0.00008000,0
1772542792043544100,1772542792210090,1772542792210921,BTCUSDT,67391.67000000,0.00016000,0
1772542792043575300,1772542792210090,1772542792210941,BTCUSDT,67391.67000000,0.00010000,1
1772542792167473300,1772542792340349,1772542792340616,BTCUSDT,67391.67000000,0.00047000,1
1772542792344919900,1772542792516790,1772542792517472,BTCUSDT,67391.68000000,0.00405000,0
1772542792345072100,1772542792516790,1772542792517476,BTCUSDT,67391.69000000,0.00083000,0
1772542792345139000,1772542792516790,1772542792517477,BTCUSDT,67391.75000000,0.00008000,0
1772542792345200700,1772542792516790,1772542792517478,BTCUSDT,67392.00000000,0.00072000,0
1772542792345260300,1772542792516790,1772542792517479,BTCUSDT,67392.08000000,0.00032000,0
1772542792345319600,1772542792516790,1772542792517479,BTCUSDT,67392.42000000,0.00008000,0
1772542792345383500,1772542792516790,1772542792517480,BTCUSDT,67392.43000000,0.00041000,0
1772542792525115100,1772542792696980,1772542792697252,BTCUSDT,67392.43000000,0.00075000,1
1772542792693118500,1772542792855336,1772542792855865,BTCUSDT,67392.44000000,0.00316000,0
1772542792693224400,1772542792855336,1772542792855869,BTCUSDT,67392.45000000,0.00091000,0
1772542792693290800,1772542792855445,1772542792855922,BTCUSDT,67392.65000000,0.00016000,0
1772542792705145800,1772542792870764,1772542792871180,BTCUSDT,67393.60000000,0.00075000,0
1772542792743689800,1772542792915638,1772542792916491,BTCUSDT,67393.60000000,0.00215000,0
1772542792743753300,1772542792915638,1772542792916495,BTCUSDT,67393.61000000,0.00050000,0
1772542792743790900,1772542792915638,1772542792916496,BTCUSDT,67394.00000000,0.00079000,0
1772542792743823400,1772542792915638,1772542792916496,BTCUSDT,67394.11000000,0.00024000,0
1772542792743857700,1772542792915638,1772542792916497,BTCUSDT,67394.12000000,0.00049000,0
1772542792743893400,1772542792915638,1772542792916498,BTCUSDT,67394.13000000,0.00016000,0
1772542792743924100,1772542792915638,1772542792916498,BTCUSDT,67394.15000000,0.00016000,0
1772542792743954300,1772542792915638,1772542792916499,BTCUSDT,67394.34000000,0.00016000,0
1772542792743984800,1772542792915638,1772542792916500,BTCUSDT,67394.41000000,0.00016000,0
1772542792744014300,1772542792915638,1772542792916500,BTCUSDT,67394.50000000,0.00354000,0
1772542792744044400,1772542792915638,1772542792916501,BTCUSDT,67394.52000000,0.00024000,0
1772542792744075400,1772542792915638,1772542792916502,BTCUSDT,67394.56000000,0.00025000,0
1772542792744105800,1772542792915638,1772542792916502,BTCUSDT,67395.02000000,0.00024000,0
1772542792744136400,1772542792915638,1772542792916503,BTCUSDT,67395.76000000,0.00024000,0
1772542792744166500,1772542792915638,1772542792916504,BTCUSDT,67395.77000000,0.00032000,0
1772542792744203900,1772542792915638,1772542792916504,BTCUSDT,67396.00000000,0.00056000,0
1772542792744240900,1772542792915638,1772542792916505,BTCUSDT,67396.38000000,0.00016000,0
1772542792744279100,1772542792915638,1772542792916506,BTCUSDT,67396.52000000,0.00025000,0
1772542792744316600,1772542792915638,1772542792916506,BTCUSDT,67397.12000000,0.00009000,0
1772542792744346700,1772542792915638,1772542792916507,BTCUSDT,67397.13000000,0.00017000,0
1772542792744376700,1772542792915638,1772542792916508,BTCUSDT,67397.14000000,0.00012000,0
1772542792744406700,1772542792915638,1772542792916508,BTCUSDT,67397.17000000,0.00009000,0
1772542792744436500,1772542792915638,1772542792916509,BTCUSDT,67397.24000000,0.00008000,0
1772542792744466500,1772542792915638,1772542792916511,BTCUSDT,67397.25000000,0.00016000,0
1772542792744499100,1772542792915638,1772542792916512,BTCUSDT,67397.28000000,0.00008000,0
1772542792744928800,1772542792918143,1772542792918676,BTCUSDT,67397.29000000,0.00009000,0
1772542793368457600,1772542793541633,1772542793541945,BTCUSDT,67397.29000000,0.00156000,0
1772542793401931100,1772542793573866,1772542793574177,BTCUSDT,67397.28000000,0.05341000,1
1772542793525521200,1772542793698409,1772542793698667,BTCUSDT,67397.28000000,0.00079000,1
1772542794775089300,1772542794948445,1772542794948913,BTCUSDT,67397.29000000,0.04605000,0
1772542794777594300,1772542794950478,1772542794950774,BTCUSDT,67397.29000000,0.04664000,0
1772542794805672300,1772542794976790,1772542794977071,BTCUSDT,67397.29000000,0.00009000,0
1772542794944219100,1772542795116893,1772542795117150,BTCUSDT,67397.29000000,0.00047000,0
1772542795294096400,1772542795466772,1772542795467122,BTCUSDT,67397.28000000,0.00507000,1
1772542795489986300,1772542795663500,1772542795663768,BTCUSDT,67397.29000000,0.00062000,0
1772542795636891100,1772542795809856,1772542795810114,BTCUSDT,67397.28000000,0.00075000,1
1772542796339148600,1772542796512458,1772542796512726,BTCUSDT,67397.28000000,0.00074000,1
1772542796745855500,1772542796918845,1772542796919286,BTCUSDT,67397.29000000,0.00073000,0
1772542796759767500,1772542796932854,1772542796933290,BTCUSDT,67397.29000000,0.00083000,0
1772542797353847700,1772542797526831,1772542797527107,BTCUSDT,67397.28000000,0.00047000,1
1772542797523992800,1772542797697347,1772542797697622,BTCUSDT,67397.29000000,0.00042000,0
1772542798417011800,1772542798589919,1772542798590276,BTCUSDT,67397.29000000,0.00121000,0
1772542798417146000,1772542798590619,1772542798590946,BTCUSDT,67397.29000000,0.00121000,0
1772542798731394600,1772542798903267,1772542798903699,BTCUSDT,67397.29000000,0.00062000,0
1772542798791904000,1772542798964752,1772542798965058,BTCUSDT,67397.28000000,0.00076000,1
1772542799219515300,1772542799392720,1772542799393504,BTCUSDT,67397.29000000,0.00238000,0
1772542799219629100,1772542799392720,1772542799393509,BTCUSDT,67397.30000000,0.00083000,0
1772542799219701500,1772542799392720,1772542799393510,BTCUSDT,67397.31000000,0.00027000,0
1772542799219765800,1772542799392720,1772542799393511,BTCUSDT,67397.59000000,0.00024000,0
1772542799219829100,1772542799392720,1772542799393512,BTCUSDT,67397.60000000,0.00016000,0
1772542799219891400,1772542799392720,1772542799393512,BTCUSDT,67397.61000000,0.00016000,0
1772542799219954900,1772542799392720,1772542799393513,BTCUSDT,67397.86000000,0.00024000,0
1772542799220006500,1772542799392720,1772542799393514,BTCUSDT,67398.00000000,0.00065000,0
1772542799220056000,1772542799392720,1772542799393514,BTCUSDT,67398.26000000,0.00016000,0
1772542799220104900,1772542799392720,1772542799393517,BTCUSDT,67398.31000000,0.00008000,0
1772542799220154600,1772542799392720,1772542799393518,BTCUSDT,67398.86000000,0.00024000,0
1772542799220204000,1772542799392720,1772542799393519,BTCUSDT,67398.95000000,0.00016000,0
1772542799220253500,1772542799392720,1772542799393519,BTCUSDT,67398.99000000,0.00008000,0
1772542799220302700,1772542799392720,1772542799393520,BTCUSDT,67399.05000000,0.00344000,0
1772542799220350800,1772542799392720,1772542799393520,BTCUSDT,67399.36000000,0.00024000,0
1772542799220399500,1772542799392720,1772542799393521,BTCUSDT,67399.37000000,0.00016000,0
1772542799220448500,1772542799392720,1772542799393522,BTCUSDT,67399.38000000,0.00017000,0
1772542799220498100,1772542799392720,1772542799393522,BTCUSDT,67399.44000000,0.00025000,0
1772542799220547600,1772542799392720,1772542799393523,BTCUSDT,67399.49000000,0.00016000,0
1772542799220596900,1772542799392720,1772542799393524,BTCUSDT,67399.54000000,0.00016000,0
1772542799220641300,1772542799392720,1772542799393525,BTCUSDT,67399.66000000,0.00016000,0
1772542799220701800,1772542799392720,1772542799393525,BTCUSDT,67399.68000000,0.00025000,0
1772542799220777300,1772542799392720,1772542799393526,BTCUSDT,67399.72000000,0.00016000,0
