recorded_at,coin,market_type,slug,market_closes,seconds_left,yes_price,no_price,gap,opportunity
2026-03-01T12:08:26.644952+00:00,btc,5m,btc-updown-5m-1772366700,2026-03-01T12:10:00+00:00,93,0.935,0.065,-0.0,False
2026-03-01T12:08:26.644952+00:00,btc,15m,btc-updown-15m-1772366400,2026-03-01T12:15:00+00:00,393,0.825,0.175,0.0,False
2026-03-01T12:08:26.644952+00:00,eth,5m,eth-updown-5m-1772366700,2026-03-01T12:10:00+00:00,93,0.975,0.025,0.0,False
2026-03-01T12:08:26.644952+00:00,eth,15m,eth-updown-15m-1772366400,2026-03-01T12:15:00+00:00,393,0.895,0.105,-0.0,False
2026-03-01T12:08:26.644952+00:00,sol,5m,sol-updown-5m-1772366700,2026-03-01T12:10:00+00:00,93,0.925,0.075,-0.0,False
2026-03-01T12:08:26.644952+00:00,sol,15m,sol-updown-15m-1772366400,2026-03-01T12:15:00+00:00,393,0.79,0.205,0.005,False
2026-03-01T12:08:34.346656+00:00,btc,5m,btc-updown-5m-1772366700,2026-03-01T12:10:00+00:00,85,0.935,0.065,-0.0,False
2026-03-01T12:08:34.346656+00:00,btc,15m,btc-updown-15m-1772366400,2026-03-01T12:15:00+00:00,385,0.825,0.165,0.01,False
2026-03-01T12:08:34.346656+00:00,eth,5m,eth-updown-5m-1772366700,2026-03-01T12:10:00+00:00,85,0.985,0.015,0.0,False
2026-03-01T12:08:34.346656+00:00,eth,15m,eth-updown-15m-1772366400,2026-03-01T12:15:00+00:00,385,0.915,0.085,-0.0,False
2026-03-01T12:08:34.346656+00:00,sol,5m,sol-updown-5m-1772366700,2026-03-01T12:10:00+00:00,85,0.935,0.065,-0.0,False
2026-03-01T12:08:34.346656+00:00,sol,15m,sol-updown-15m-1772366400,2026-03-01T12:15:00+00:00,385,0.795,0.2,0.005,False
2026-03-01T12:08:42.012510+00:00,btc,5m,btc-updown-5m-1772366700,2026-03-01T12:10:00+00:00,77,0.945,0.055,0.0,False
2026-03-01T12:08:42.012510+00:00,btc,15m,btc-updown-15m-1772366400,2026-03-01T12:15:00+00:00,377,0.835,0.165,0.0,False
2026-03-01T12:08:42.012510+00:00,eth,5m,eth-updown-5m-1772366700,2026-03-01T12:10:00+00:00,77,0.995,0.005,0.0,False
2026-03-01T12:08:42.012510+00:00,eth,15m,eth-updown-15m-1772366400,2026-03-01T12:15:00+00:00,377,0.915,0.085,-0.0,False
2026-03-01T12:08:42.012510+00:00,sol,5m,sol-updown-5m-1772366700,2026-03-01T12:10:00+00:00,77,0.945,0.055,0.0,False
2026-03-01T12:08:42.012510+00:00,sol,15m,sol-updown-15m-1772366400,2026-03-01T12:15:00+00:00,377,0.8,0.205,-0.005,False
2026-03-01T12:19:44.684127+00:00,btc,5m,btc-updown-5m-1772367300,2026-03-01T12:20:00+00:00,15,0.965,0.035,0.0,False
2026-03-01T12:19:44.684127+00:00,btc,15m,btc-updown-15m-1772367300,2026-03-01T12:30:00+00:00,615,0.63,0.34,0.03,False
2026-03-01T12:19:44.684127+00:00,eth,5m,eth-updown-5m-1772367300,2026-03-01T12:20:00+00:00,15,0.995,0.005,0.0,False
2026-03-01T12:19:44.684127+00:00,eth,15m,eth-updown-15m-1772367300,2026-03-01T12:30:00+00:00,615,0.735,0.265,0.0,False
2026-03-01T12:19:44.684127+00:00,sol,5m,sol-updown-5m-1772367300,2026-03-01T12:20:00+00:00,15,0.995,0.005,0.0,False
2026-03-01T12:19:44.684127+00:00,sol,15m,sol-updown-15m-1772367300,2026-03-01T12:30:00+00:00,615,0.795,0.205,-0.0,False
2026-03-01T12:34:49.686047+00:00,btc,5m,btc-updown-5m-1772368200,2026-03-01T12:35:00+00:00,10,0.005,0.995,0.0,False
2026-03-01T12:34:49.686047+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,610,0.165,0.835,0.0,False
2026-03-01T12:34:49.686047+00:00,eth,5m,eth-updown-5m-1772368200,2026-03-01T12:35:00+00:00,10,0.005,0.995,0.0,False
2026-03-01T12:34:49.686047+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,610,0.25,0.755,-0.005,False
2026-03-01T12:34:49.686047+00:00,sol,5m,sol-updown-5m-1772368200,2026-03-01T12:35:00+00:00,10,0.005,0.995,0.0,False
2026-03-01T12:34:49.686047+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,610,0.08,0.92,0.0,False
2026-03-01T12:35:06.779583+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,293,0.615,0.385,0.0,False
2026-03-01T12:35:06.779583+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,593,0.185,0.815,0.0,False
2026-03-01T12:35:06.779583+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,293,0.645,0.355,0.0,False
2026-03-01T12:35:06.779583+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,593,0.315,0.68,0.005,False
2026-03-01T12:35:06.779583+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,293,0.635,0.365,0.0,False
2026-03-01T12:35:06.779583+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,593,0.125,0.87,0.005,False
2026-03-01T12:35:22.904917+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,277,0.72,0.265,0.015,False
2026-03-01T12:35:22.904917+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,577,0.225,0.785,-0.01,False
2026-03-01T12:35:22.904917+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,277,0.705,0.29,0.005,False
2026-03-01T12:35:22.904917+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,577,0.365,0.635,0.0,False
2026-03-01T12:35:22.904917+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,277,0.665,0.345,-0.01,False
2026-03-01T12:35:22.904917+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,577,0.125,0.885,-0.01,False
2026-03-01T12:35:38.808753+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,261,0.605,0.395,0.0,False
2026-03-01T12:35:38.808753+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,561,0.155,0.845,0.0,False
2026-03-01T12:35:38.808753+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,261,0.585,0.435,-0.02,False
2026-03-01T12:35:38.808753+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,561,0.285,0.715,0.0,False
2026-03-01T12:35:38.808753+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,261,0.565,0.435,0.0,False
2026-03-01T12:35:38.808753+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,561,0.09,0.91,0.0,False
2026-03-01T12:35:55.143632+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,244,0.675,0.325,-0.0,False
2026-03-01T12:35:55.143632+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,544,0.195,0.815,-0.01,False
2026-03-01T12:35:55.143632+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,244,0.705,0.295,0.0,False
2026-03-01T12:35:55.143632+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,544,0.335,0.645,0.02,False
2026-03-01T12:35:55.143632+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,244,0.655,0.34,0.005,False
2026-03-01T12:35:55.143632+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,544,0.13,0.875,-0.005,False
2026-03-01T12:36:11.194518+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,228,0.695,0.305,0.0,False
2026-03-01T12:36:11.194518+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,528,0.22,0.755,0.025,False
2026-03-01T12:36:11.194518+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,228,0.815,0.165,0.02,False
2026-03-01T12:36:11.194518+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,528,0.44,0.565,-0.005,False
2026-03-01T12:36:11.194518+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,228,0.905,0.08,0.015,False
2026-03-01T12:36:11.194518+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,528,0.245,0.755,0.0,False
2026-03-01T12:36:27.294640+00:00,btc,5m,btc-updown-5m-1772368500,2026-03-01T12:40:00+00:00,212,0.725,0.295,-0.02,False
2026-03-01T12:36:27.294640+00:00,btc,15m,btc-updown-15m-1772368200,2026-03-01T12:45:00+00:00,512,0.195,0.805,-0.0,False
2026-03-01T12:36:27.294640+00:00,eth,5m,eth-updown-5m-1772368500,2026-03-01T12:40:00+00:00,212,0.775,0.225,-0.0,False
2026-03-01T12:36:27.294640+00:00,eth,15m,eth-updown-15m-1772368200,2026-03-01T12:45:00+00:00,512,0.375,0.625,0.0,False
2026-03-01T12:36:27.294640+00:00,sol,5m,sol-updown-5m-1772368500,2026-03-01T12:40:00+00:00,212,0.875,0.125,0.0,False
2026-03-01T12:36:27.294640+00:00,sol,15m,sol-updown-15m-1772368200,2026-03-01T12:45:00+00:00,512,0.195,0.805,-0.0,False
