rank,name,wallet,volume,pnl,verified
1,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,34157526.44271218,479113.4305866279,False
2,predictorxyz,0x1d9af60c679cd0b577c3c4ccb4b1a4be4174426d,540336.150517,410402.00021338795,False
3,0x1d0034134e,0x1d0034134e339a309700ff2d34e99fa2d48b0313,36279921.206415184,380455.6984280955,False
4,0x054eC2F0cCfdaE941886a3eD306635068c716639-1771949456168,0x054ec2f0ccfdae941886a3ed306635068c716639,1730357.9643730002,354165.3177424995,False
5,0xCBED92A9dc14802a2957De4a7d81d3c6a038BbB9-1771998936959,0xcbed92a9dc14802a2957de4a7d81d3c6a038bbb9,880229.0578270003,301525.2413008272,False
6,0x2ef0e278354A971b4cACB02089E43526dea762fd-1772031509515,0x2ef0e278354a971b4cacb02089e43526dea762fd,675586.22,166729.575,False
7,0xe56526b27b96f009b31ddb46558a134047bfce48,0xe56526b27b96f009b31ddb46558a134047bfce48,580772.084236,160876.83822395894,False
8,k9Q2mX4L8A7ZP3R,0xd0d6053c3c37e727402d84c14069780d360993aa,19269117.525687054,155700.84207041468,False
9,0x8dxd,0x63ce342161250d705dc0b16df89036c8e5f9ba9a,11264160.197895037,133424.87399070896,False
10,rename,0xf6963d4cdbb6f26d753bda303e9513132afb1b7d,6518694.522335988,132488.93518087448,False
11,dustedfloor,0x571c285a83eba5322b5f916ba681669dc368a61f,4089100.662645989,114756.3297716816,False
12,0x0eA574F3204C5c9C0cdEad90392ea0990F4D17e4-1769515653156,0x0ea574f3204c5c9c0cdead90392ea0990f4d17e4,9917376.722671025,108647.71979247627,False
13,0x336151559E8C8b048DE5231dC8313E196B31436,0x336151559e8c8b048de5231dc8313e196b314363,683218.1803659999,105377.05890676037,False
14,vague-sourdough,0x70ec235a31eb35f243e2618d6ea3b5b8962bbb5d,6497723.453498993,85563.02118030906,False
15,vidarx,0x2d8b401d2f0e6937afebf18e19e11ca568a5260a,8734801.083257996,77892.91210093861,False
