recorded_at,wallet,wallet_label,coin,market_type,slug,side,size_usd,price,trade_timestamp,seconds_into_market,gap_at_time,gap_seconds_diff,both_sides_flag
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,sol,15m,sol-updown-15m-1772053200,UP,146.02383,0.999,1772405343,352143,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,sol,5m,sol-updown-5m-1771916400,DOWN,111.7881,0.999,1772405339,488939,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,sol,5m,sol-updown-5m-1772053800,DOWN,285.79392,0.999,1772405335,351535,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,eth,5m,eth-updown-5m-1772053800,DOWN,392.54706,0.999,1772405321,351521,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772382900,UP,7.68,0.08,1772383193,293,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,eth,15m,eth-updown-15m-1772053200,DOWN,1753.5043400000002,0.999,1772383079,329879,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772382300,UP,90.24,0.94,1772382589,289,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,15m,btc-updown-15m-1772381700,DOWN,0.96,0.01,1772382583,883,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,15m,btc-updown-15m-1772381700,DOWN,0.96,0.01,1772382571,871,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772382300,UP,89.28,0.93,1772382461,161,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,15m,btc-updown-15m-1772380800,DOWN,0.96,0.01,1772381621,821,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,35.1232,0.98,1772381091,291,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,72.8238,0.98,1772381091,291,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,3.2732,0.98,1772381091,291,,,False
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.96,0.01,1772381091,291,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,4.9,0.98,1772381091,291,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.010101,0.01,1772381089,289,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.147171,0.01,1772381089,289,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.6617,0.01,1772381089,289,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.796,0.01,1772381089,289,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.050505,0.01,1772381089,289,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.05,0.01,1772381089,289,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.02,0.01,1772381089,289,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.020202,0.01,1772381089,289,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,21.2562,0.98,1772381089,289,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.164,0.01,1772381087,287,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,41.16,0.98,1772381077,277,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.94,0.01,1772381077,277,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,94.08,0.98,1772381077,277,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,94.08,0.98,1772381075,275,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,48.5394,0.98,1772381073,273,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,0.3234,0.98,1772381073,273,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,0.9996,0.98,1772381073,273,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.94,0.01,1772381073,273,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,44.2078,0.98,1772381073,273,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,0.0098,0.98,1772381073,273,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,32.67,0.99,1772381071,271,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,88.8566,0.98,1772381071,271,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,4.9,0.98,1772381071,271,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,0.3234,0.98,1772381071,271,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.214803,0.01,1772381069,269,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.05,0.01,1772381069,269,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.6259,0.01,1772381069,269,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,DOWN,0.0592,0.01,1772381069,269,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,94.08,0.98,1772381067,267,,,True
2026-03-02T09:07:03.507158+00:00,0x1979ae6b7e6534de9c4539d0c205e582ca637c9d,0x1979ae6B7E6534dE9c4539D0c205E582cA637C9D-1769439463256,btc,5m,btc-updown-5m-1772380800,UP,92.16,0.96,1772381063,263,,,True
2026-03-02T09:07:03.507158+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,sol,5m,sol-updown-5m-1771916400,DOWN,16.65333,0.999,1772408997,492597,,,False
2026-03-02T09:07:03.507158+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,sol,5m,sol-updown-5m-1772053800,DOWN,59.76018,0.999,1772408977,355177,,,False
2026-03-02T09:07:03.507158+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,eth,5m,eth-updown-5m-1772053800,DOWN,124.9749,0.999,1772408931,355131,,,False
2026-03-02T09:07:03.507158+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,5m,btc-updown-5m-1772383800,DOWN,32.859999,0.5069146961578518,1772383991,191,,,False
2026-03-02T09:07:03.507158+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,5m,btc-updown-5m-1772383800,DOWN,2.6,0.52,1772383989,189,,,False
2026-03-02T09:07:03.507158+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,5m,btc-updown-5m-1772383800,DOWN,16.986666,0.5200000061224493,1772383989,189,,,False
2026-03-02T09:07:03.507158+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,5m,btc-updown-5m-1772383800,DOWN,87.8748,0.52,1772383989,189,,,False
2026-03-02T09:07:03.507158+00:00,0x1d0034134e339a309700ff2d34e99fa2d48b0313,0x1d0034134e,btc,5m,btc-updown-5m-1772383800,DOWN,8.493333,0.5200000220408181,1772383989,189,,,False
